Number,Moisture,resin.g,NO3,PO4,Unit,Plot,Direction,Date,tin.g,tin.and.dry.g,Blank.value.NO3,Blank.value.PO4,Extraction vol (ml),NO3.mg.gresin,PO4.mg.gresin,,Moisture,Notes,,Blanks 65_128,Nutrient,
114,,,1.80,-0.01,14,2,E,Fall 2021,2.5102,15.5206,1,0,80.000,0.005,0.000,,,,,,,
115,,,0.95,-0.12,14,2,N,Fall 2021,2.5066,14.3678,1,0,80.000,0.000,-0.001,,,,,,,
116,,,0.59,-0.12,14,2,S,Fall 2021,2.5257,16.0746,1,0,80.000,-0.002,-0.001,,,,,,,
117,,,2.01,0.00,14,5,S,Fall 2021,2.467,15.4623,1,0,80.000,0.006,0.000,,,,,,,
118,,,10.24,-0.15,14,5,N,Fall 2021,2.5179,12.1233,1,0,80.000,0.077,-0.001,,,"bag broke, free resin",,,,
119,,,1.68,-0.04,14,5,E,Fall 2021,2.5109,16.6677,1,0,80.000,0.004,0.000,,,"hole in original tin, lost some beads",,,,
120,,,1.06,-0.17,14,5,W,Fall 2021,2.5002,16.5812,1,0,80.000,0.000,-0.001,,,,,,,
121,,,1.44,0.00,14,6,S,Fall 2021,2.496,14.2023,1,0,80.000,0.003,0.000,,,,,,,
122,,,1.35,-0.02,14,6,N,Fall 2021,2.4939,17.2213,1,0,80.000,0.002,0.000,,,,,,,
123,,,0.54,-0.16,14,6,W,Fall 2021,2.5056,15.4814,1,0,80.000,-0.003,-0.001,,,,,,,
124,,,1.85,-0.17,14,6,E,Fall 2021,2.5203,17.1774,1,0,80.000,0.005,-0.001,,,,,,,
125,,,1.05,-0.20,14,7,S,Fall 2021,2.4825,17.949,1,0,80.000,0.000,-0.001,,,,,,,
126,,,1.81,0.00,14,7,N,Fall 2021,2.5113,15.9625,1,0,80.000,0.005,0.000,,,,,,,
127,,,1.36,-0.20,14,7,E,Fall 2021,2.5056,19.0066,1,0,80.000,0.002,-0.001,,,,,,,
128,,,1.01,-0.03,14,7,W,Fall 2021,2.4965,15.9695,1,0,80.000,0.000,0.000,,,,,,,
65,,,1.35,0.04,1,1,W,Summer 2021,2.4813,17.4057,0.91,0,80.000,0.002,0.000,,,Milli- Q added to sample cup (extra volume),,,,
66,,,1.48,0.10,1,1,E,Summer 2021,2.505,15.8339,0.91,0,80.000,0.003,0.001,,,,,,,
67,,,1.57,0.03,1,1,N,Summer 2021,2.4773,19.3865,0.91,0,80.000,0.003,0.000,,,not accurate extraction (only ~10 mls),,,,
68,,,1.65,0.03,1,1,S,Summer 2021,2.4857,15.4021,0.91,0,80.000,0.005,0.000,,,"hole in original tin, weighed in new one",,,,
69,,,1.12,0.12,1,10,E,Summer 2021,2.4767,16.3899,0.91,0,80.000,0.001,0.001,,,,,,,
70,,,1.75,0.24,1,10,W,Summer 2021,2.5023,12.3005,0.91,0,80.000,0.007,0.002,,,"hole in original, lost some beads, Milli- Q added to sample cup (extra volume)",,,,
71,,,1.21,0.06,1,10,S,Summer 2021,2.4935,16.3199,0.91,0,80.000,0.002,0.000,,,,,,,
72,,,1.49,0.13,1,10,N,Summer 2021,2.4791,17.416,0.91,0,80.000,0.003,0.001,,,,,,,
73,,,1.56,0.00,2,5,SW,Summer 2021,2.5176,17.7801,0.91,0,80.000,0.003,0.000,,,"hole in original tin, lost some beads",,,,
74,,,1.21,0.36,2,5,NW,Summer 2021,2.5036,17.9317,0.91,0,80.000,0.002,0.002,,,,,,,
75,,,1.45,0.07,2,5,SE,Summer 2021,2.4781,17.262,0.91,0,80.000,0.003,0.000,,,,,,,
76,,,NA,NA,2,5,NE,Summer 2021,2.4907,17.684,0.91,0,80.000,#VALUE!,#VALUE!,,,,,,,
77,,,1.50,0.04,2,9,W,Summer 2021,2.4953,15.7928,0.91,0,80.000,0.004,0.000,,,"hole in original tin, lost some beads",,,,
78,,,1.93,0.07,2,9,S,Summer 2021,2.4813,15.5344,0.91,0,80.000,0.006,0.000,,,,,,,
79,,,1.63,0.10,2,9,N,Summer 2021,2.5072,16.7584,0.91,0,80.000,0.004,0.001,,,,,,,
80,,,1.23,0.09,2,9,E,Summer 2021,2.516,16.0859,0.91,0,80.000,0.002,0.001,,,,,,,
81,,,1.55,0.06,3,5,N,Summer 2021,2.5044,16.1542,0.91,0,80.000,0.004,0.000,,,,,,,
82,,,1.66,0.01,3,5,W,Summer 2021,2.4943,12.5163,0.91,0,80.000,0.006,0.000,,,,,,,
83,,,1.24,0.04,3,5,S,Summer 2021,2.5101,16.3689,0.91,0,80.000,0.002,0.000,,,,,,,
84,,,NA,NA,3,5,E,Summer 2021,2.5165,16.5153,0.91,0,80.000,#VALUE!,#VALUE!,,,"bag broke, free resin",,,,
85,,,1.13,-0.01,4,10,N,Summer 2021,2.4843,16.5391,0.91,0,80.000,0.001,0.000,,,,,,,
86,,,1.02,-0.01,4,10,E,Summer 2021,2.4846,16.6543,0.91,0,80.000,0.001,0.000,,,,,,,
87,,,1.59,0.09,4,10,W,Summer 2021,2.4938,16.372,0.91,0,80.000,0.004,0.001,,,,,,,
88,,,NA,NA,4,10,S,Summer 2021,2.5165,NA,0.91,0,80.000,#VALUE!,#VALUE!,,,,,,,
89,,,1.45,0.12,6,5,E,Summer 2021,2.5087,13.9225,0.91,0,80.000,0.004,0.001,,,"bag broke, free resin",,,,
90,,,1.59,-0.02,6,5,W,Summer 2021,2.5125,17.5233,0.91,0,80.000,0.004,0.000,,,"hole in original tin, lost some beads",,,,
91,,,1.79,-0.01,6,5,N,Summer 2021,2.4946,15.9246,0.91,0,80.000,0.005,0.000,,,,,,,
92,,,1.28,0.02,6,5,S,Summer 2021,2.496,16.8293,0.91,0,80.000,0.002,0.000,,,"hole in original tin, lost some beads",,,,
93,,,1.50,0.02,8,1,S,Summer 2021,2.5183,18.0309,0.91,0,80.000,0.003,0.000,,,"hole in original tin, lost some beads",,,,
94,,,1.77,0.29,8,1,E,Summer 2021,2.5025,15.4287,0.91,0,80.000,0.005,0.002,,,,,,,
95,,,1.49,0.11,8,1,N,Summer 2021,2.4982,15.1488,0.91,0,80.000,0.004,0.001,,,,,,,
96,,,1.49,0.11,8,1,W,Summer 2021,2.4928,16.5673,0.91,0,80.000,0.003,0.001,,,,,,,
97,,,1.82,0.10,10,5,E,Summer 2021,2.5024,16.3048,0.91,0,80.000,0.005,0.001,,,"bag broke, free resin",,,,
98,,,0.97,0.02,10,5,SE,Summer 2021,2.4867,16.9957,0.91,0,80.000,0.000,0.000,,,,,,,
99,,,2.02,0.23,10,5,N,Summer 2021,2.4831,17.4891,0.91,0,80.000,0.006,0.001,,,,,,,
100,,,1.71,0.03,10,5,W,Summer 2021,2.5082,15.5631,0.91,0,80.000,0.005,0.000,,,,,,,
101,,,1.42,0.04,12,11,E,Summer 2021,2.5065,16.4393,0.91,0,80.000,0.003,0.000,,,,,,,
102,,,1.61,0.13,12,11,W,Summer 2021,2.4866,17.4951,0.91,0,80.000,0.004,0.001,,,"hole in original tin, lost some beads",,,,
103,,,1.43,0.02,12,11,S,Summer 2021,2.496,16.1989,0.91,0,80.000,0.003,0.000,,,,,,,
104,,,1.65,0.11,12,11,N,Summer 2021,2.4921,15.4327,0.91,0,80.000,0.005,0.001,,,,,,,
105,,,0.96,0.17,13,5,W,Summer 2021,2.5145,16.4747,0.91,0,80.000,0.000,0.001,,,switched cup w 106 during extraction,,,,
106,,,NA,NA,13,5,S,Summer 2021,2.5008,15.3403,0.91,0,80.000,#VALUE!,#VALUE!,,,switched cup w 105 during extraction,,,,
107,,,1.21,0.12,13,5,E,Summer 2021,2.4927,18.0023,0.91,0,80.000,0.002,0.001,,,,,,,
108,,,1.28,0.18,13,5,NW,Summer 2021,2.4829,15.9637,0.91,0,80.000,0.002,0.001,,,,,,,
109,,,1.18,0.05,14,1,S,Summer 2021,2.4977,14.9643,0.91,0,80.000,0.002,0.000,,,"small holes in resin bag, washed gently",,,,
110,,,1.07,-0.02,14,1,N,Summer 2021,2.5163,17.8127,0.91,0,80.000,0.001,0.000,,,questionable resin beads added in filter (unsure if for 110 or 112),,,,
111,,,1.18,-0.03,14,1,W,Summer 2021,2.4861,16.5494,0.91,0,80.000,0.002,0.000,,,,,,,
112,,,1.42,0.05,14,1,E,Summer 2021,2.5205,16.5839,0.91,0,80.000,0.003,0.000,,,,,,,
113,,,1.43,0.00,14,2,W,Summer 2021,2.5053,17.3594,0.91,0,80.000,0.003,0.000,,,,,,,
114,,,1.04,-0.02,14,2,E,Summer 2021,2.5102,15.5206,0.91,0,80.000,0.001,0.000,,,,,,,
115,,,NA,NA,14,2,N,Summer 2021,2.5066,14.3678,0.91,0,80.000,#VALUE!,#VALUE!,,,,,,,
116,,,1.11,0.02,14,2,S,Summer 2021,2.5257,16.0746,0.91,0,80.000,0.001,0.000,,,,,,,
117,,,7.43,0.93,14,5,S,Summer 2021,2.467,15.4623,0.91,0,80.000,0.040,0.006,,,,,,,
118,,,8.47,0.73,14,5,N,Summer 2021,2.5179,12.1233,0.91,0,80.000,0.063,0.006,,,"bag broke, free resin",,,,
119,,,2.00,0.12,14,5,E,Summer 2021,2.5109,16.6677,0.91,0,80.000,0.006,0.001,,,"hole in original tin, lost some beads",,,,
120,,,1.82,-0.01,14,5,W,Summer 2021,2.5002,16.5812,0.91,0,80.000,0.005,0.000,,,,,,,
121,,,1.64,0.15,14,6,S,Summer 2021,2.496,14.2023,0.91,0,80.000,0.005,0.001,,,,,,,
122,,,1.49,-0.01,14,6,N,Summer 2021,2.4939,17.2213,0.91,0,80.000,0.003,0.000,,,,,,,
123,,,1.02,0.09,14,6,W,Summer 2021,2.5056,15.4814,0.91,0,80.000,0.001,0.001,,,,,,,
124,,,1.28,0,14,6,E,Summer 2021,2.5203,17.1774,0.91,0,80.000,0.002,0.000,,,,,,,
125,,,1.26,0.05,14,7,S,Summer 2021,2.4825,17.949,0.91,0,80.000,0.002,0.000,,,,,,,
126,,,1.21,-0.01,14,7,N,Summer 2021,2.5113,15.9625,0.91,0,80.000,0.002,0.000,,,,,,,
127,,,1.65,0.04,14,7,E,Summer 2021,2.5056,19.0066,0.91,0,80.000,0.004,0.000,,,,,,,
128,,,1.85,0.06,14,7,W,Summer 2021,2.4965,15.9695,0.91,0,80.000,0.006,0.000,,,,,,,
,,,,,1,1,W,Summer_2022,,,,,,,,,,,,,,
66,9.30,13.64,,,1,1,E,Summer_2022,,,,,,,,,,,,,,
67,10.00,11.93,,,1,1,NE,Summer_2022,,,,,,,,,,,,,,
68,9.60,12.66,,,1,1,SW,Summer_2022,,,,,,,,,,,,,,
69,8.40,13.30,,,1,10,E,Summer_2022,,,,,,,,,,,,,,
70,10.70,13.12,,,1,10,W,Summer_2022,,,,,,,,,,,,,,
71,13.40,14.14,,,1,10,S,Summer_2022,,,,,,,,,,,,,,
72,,11.39,,,1,10,N,Summer_2022,,,,,,,,,,,,,,
73,7.60,12.29,,,2,5,SW,Summer_2022,,,,,,,,,,,,,,
,,,,,2,5,NW,Summer_2022,,,,,,,,,,,,,,
75,12.80,13.24,,,2,5,SE,Summer_2022,,,,,,,,,,,,,,
76,8.70,9.10,,,2,5,NE,Summer_2022,,,,,,,,,,,,,,
77,18.30,11.77,,,2,9,W,Summer_2022,,,,,,,,,,,,,,
78,,12.42,,,2,9,S,Summer_2022,,,,,,,,,,,,,,
79,13.70,12.13,,,2,9,N,Summer_2022,,,,,,,,,,,,,,
80,23.20,13.56,,,2,9,E,Summer_2022,,,,,,,,,,,,,,
81,18.70,12.57,,,3,5,N,Summer_2022,,,,,,,,,,,,,,
82,16.20,12.60,,,3,5,W,Summer_2022,,,,,,,,,,,,,,
83,23.70,12.98,,,3,5,S,Summer_2022,,,,,,,,,,,,,,
84,,12.74,,,3,5,E,Summer_2022,,,,,,,,,,,,,,
85,11.50,12.10,,,4,10,N,Summer_2022,,,,,,,,,,,,,,
86,,12.21,,,4,10,E,Summer_2022,,,,,,,,,,,,,,
87,12.20,12.41,,,4,10,W,Summer_2022,,,,,,,,,,,,,,
88,10.30,12.69,,,4,10,S,Summer_2022,,,,,,,,,,,,,,
89,24.30,11.29,,,6,5,E,Summer_2022,,,,,,,,,,,,,,
90,18.80,12.20,,,6,5,W,Summer_2022,,,,,,,,,,,,,,
91,20.30,13.47,,,6,5,N,Summer_2022,,,,,,,,,,,,,,
92,,12.66,,,6,5,S,Summer_2022,,,,,,,,,,,,,,
93,,12.84,,,8,1,S,Summer_2022,,,,,,,,,,,,,,
94,15.30,13.40,,,8,1,E,Summer_2022,,,,,,,,,,,,,,
95,23.00,13.30,,,8,1,N,Summer_2022,,,,,,,,,,,,,,
96,14.00,12.56,,,8,1,W,Summer_2022,,,,,,,,,,,,,,
97,,14.23,,,10,5,E,Summer_2022,,,,,,,,,,,,,,
98,23.30,13.56,,,10,5,SE,Summer_2022,,,,,,,,,,,,,,
99,19.90,12.03,,,10,5,N,Summer_2022,,,,,,,,,,,,,,
100,11.20,11.89,,,10,5,W,Summer_2022,,,,,,,,,,,,,,
101,13.20,11.68,,,12,11,E,Summer_2022,,,,,,,,,,,,,,
102,11.30,13.64,,,12,11,W,Summer_2022,,,,,,,,,,,,,,
,,,,,12,11,S,Summer_2022,,,,,,,,,,,,,,
104,10.00,12.91,,,12,11,N,Summer_2022,,,,,,,,,,,,,,
105,9.20,9.18,,,13,5,W,Summer_2022,,,,,,,,,,,,,,
106,13.50,13.77,,,13,5,S,Summer_2022,,,,,,,,,,,,,,
107,,11.69,,,13,5,E,Summer_2022,,,,,,,,,,,,,,
108,9.00,11.69,,,13,5,NW,Summer_2022,,,,,,,,,,,,,,
109,,11.12,,,14,1,S,Summer_2022,,,,,,,,,,,,,,
110,13.80,10.31,,,14,1,N,Summer_2022,,,,,,,,,,,,,,
111,16.70,11.66,,,14,1,W,Summer_2022,,,,,,,,,,,,,,
112,8.60,13.55,,,14,1,E,Summer_2022,,,,,,,,,,,,,,
103,Resin placed,11.22,,,14,2,W,Summer_2022,,,,,,,,,,,,,,
114,,12.36,,,14,2,E,Summer_2022,,,,,,,,,,,,,,
115,36.70,11.21,,,14,2,N,Summer_2022,,,,,,,,,,,,,,
116,11.60,12.12,,,14,2,S,Summer_2022,,,,,,,,,,,,,,
117,33.30,12.39,,,14,5,S,Summer_2022,,,,,,,,,,,,,,
,,,,,14,5,N,Summer_2022,,,,,,,,,,,,,,
119,22.80,13.26,,,14,5,E,Summer_2022,,,,,,,,,,,,,,
120,20.7,12.7,,,14,5,W,Summer_2022,,,,,,,,,,,,,,
65,Resin placed,13.72,,,14,6,S,Summer_2022,,,,,,,,,,,,,,
74,Resin placed,11.14,,,14,6,N,Summer_2022,,,,,,,,,,,,,,
113,18.20,10.97,,,14,6,W,Summer_2022,,,,,,,,,,,,,,
127,32,12.85,,,14,6,E,Summer_2022,,,,,,,,,,,,,,
125,,12.25,,,14,7,S,Summer_2022,,,,,,,,,,,,,,
126,13.90,12.61,,,14,7,N,Summer_2022,,,,,,,,,,,,,,
118,Resin placed,12.62,,,14,7,E,Summer_2022,,,,,,,,,,,,,,
128,27.90,11.98,,,14,7,W,Summer_2022,,,,,,,,,,,,,,