Unit,Plot,Species,myc.species.type,myc.legacy.type,Num.,Tag ID,Prox,Moisture
10,5,ACRU,AM,AM,1,10_5 ACRU_1,Center,20.7
10,5,ACRU,AM,AM,2,10_5 ACRU_2,Center,27.1
10,5,ACRU,AM,AM,4,10_5 ACRU_4,Center,29.8
10,5,ACRU,AM,AM,5,10_5 ACRU_5,Edge,22.3
10,5,ACRU,AM,AM,6,10_5 ACRU_6,Edge,25.6
10,5,ACRU,AM,AM,8,10_5 ACRU_8,Edge,27.5
10,5,ACRU,AM,AM,9,10_5 ACRU_9,Center,29.8
10,5,ACRU,AM,AM,11,10_5 ACRU_11,Center,12.9
10,5,ACRU,AM,AM,12,10_5 ACRU_12,Edge,33.4
10,5,ACRU,AM,AM,13,10_5 ACRU_13,Edge,18.1
10,5,ACRU,AM,AM,14,10_5 ACRU_14,Edge,12.2
10,5,ACRU,AM,AM,15,10_5 ACRU_15,Edge,19.4
10,5,ACRU,AM,AM,16,10_5 ACRU_16,Edge,18.7
10,5,ACRU,AM,AM,17,10_5 ACRU_17,Center,29
10,5,ACRU,AM,AM,18,10_5 ACRU_18,Center,28
10,5,ACRU,AM,AM,19,10_5 ACRU_19,Edge,20
10,5,ACRU,AM,AM,20,10_5 ACRU_20,Edge,19.1
10,5,ACSA,AM,AM,1,10_5 ACSA_1,Edge,14.8
10,5,ACSA,AM,AM,2,10_5 ACSA_2,Edge,24.7
10,5,ACSA,AM,AM,4,10_5 ACSA_4,Center,16.5
10,5,ACSA,AM,AM,6,10_5 ACSA_6,Center,28.3
10,5,ACSA,AM,AM,7,10_5 ACSA_7,Edge,21.8
10,5,ACSA,AM,AM,8,10_5 ACSA_8,Edge,31.3
10,5,ACSA,AM,AM,9,10_5 ACSA_9,Center,27.4
10,5,ACSA,AM,AM,11,10_5 ACSA_11,Center,23.5
10,5,ACSA,AM,AM,12,10_5 ACSA_12,Edge,23.4
10,5,ACSA,AM,AM,13,10_5 ACSA_13,Edge,27.5
10,5,ACSA,AM,AM,14,10_5 ACSA_14,Edge,27.4
10,5,ACSA,AM,AM,15,10_5 ACSA_15,Edge,33.2
10,5,ACSA,AM,AM,16,10_5 ACSA_16,Edge,18.2
10,5,ACSA,AM,AM,17,10_5 ACSA_17,Center,11
10,5,ACSA,AM,AM,18,10_5 ACSA_18,Center,19.4
10,5,ACSA,AM,AM,19,10_5 ACSA_19,Edge,23.4
10,5,ACSA,AM,AM,20,10_5 ACSA_20,Edge,20.1
10,5,NYSY,AM,AM,1,10_5 NYSY_1,Edge,16.7
10,5,NYSY,AM,AM,2,10_5 NYSY_2,Edge,11.5
10,5,NYSY,AM,AM,4,10_5 NYSY_4,Center,30.9
10,5,NYSY,AM,AM,5,10_5 NYSY_5,Center,23.5
10,5,NYSY,AM,AM,6,10_5 NYSY_6,Center,29.9
10,5,NYSY,AM,AM,7,10_5 NYSY_7,Center,25.3
10,5,NYSY,AM,AM,8,10_5 NYSY_8,Center,25
10,5,NYSY,AM,AM,9,10_5 NYSY_9,Edge,32.9
10,5,NYSY,AM,AM,10,10_5 NYSY_10,Edge,30.1
10,5,NYSY,AM,AM,12,10_5 NYSY_12,Edge,14.2
10,5,NYSY,AM,AM,13,10_5 NYSY_13,Center,14
10,5,NYSY,AM,AM,15,10_5 NYSY_15,Edge,15.3
10,5,NYSY,AM,AM,16,10_5 NYSY_16,Edge,28.5
10,5,NYSY,AM,AM,17,10_5 NYSY_17,Center,25.8
10,5,NYSY,AM,AM,18,10_5 NYSY_18,Center,23.4
10,5,NYSY,AM,AM,19,10_5 NYSY_19,Edge,26.2
10,5,NYSY,AM,AM,20,10_5 NYSY_20,Edge,16.3
10,5,PRSE,AM,AM,4,10_5 PRSE_4,Edge,29.2
10,5,PRSE,AM,AM,5,10_5 PRSE_5,Edge,27.7
10,5,PRSE,AM,AM,6,10_5 PRSE_6,Edge,26.5
10,5,PRSE,AM,AM,7,10_5 PRSE_7,Edge,26.1
10,5,PRSE,AM,AM,8,10_5 PRSE_8,Edge,23.6
10,5,PRSE,AM,AM,9,10_5 PRSE_9,Edge,26.4
10,5,PRSE,AM,AM,10,10_5 PRSE_10,Center,18.6
10,5,PRSE,AM,AM,11,10_5 PRSE_11,Edge,21.6
10,5,PRSE,AM,AM,13,10_5 PRSE_13,Center,22.2
10,5,PRSE,AM,AM,14,10_5 PRSE_14,Center,30.6
10,5,PRSE,AM,AM,16,10_5 PRSE_16,Edge,11.3
10,5,PRSE,AM,AM,17,10_5 PRSE_17,Edge,17.5
10,5,PRSE,AM,AM,18,10_5 PRSE_18,Edge,12.2
10,5,PRSE,AM,AM,19,10_5 PRSE_19,Center,31.1
10,5,PRSE,AM,AM,20,10_5 PRSE_20,Edge,14
10,5,BELE,EcM,AM,2,10_5 BELE_2,Edge,42.5
10,5,BELE,EcM,AM,3,10_5 BELE_3,Edge,36.1
10,5,BELE,EcM,AM,4,10_5 BELE_4,Center,25.8
10,5,BELE,EcM,AM,5,10_5 BELE_5,Center,30.6
10,5,BELE,EcM,AM,6,10_5 BELE_6,Edge,26.8
10,5,BELE,EcM,AM,7,10_5 BELE_7,Edge,27.9
10,5,BELE,EcM,AM,8,10_5 BELE_8,Edge,28
10,5,BELE,EcM,AM,9,10_5 BELE_9,Edge,32.1
10,5,BELE,EcM,AM,11,10_5 BELE_11,Edge,38.9
10,5,BELE,EcM,AM,12,10_5 BELE_12,Edge,22.6
10,5,BELE,EcM,AM,14,10_5 BELE_14,Center,25.1
10,5,BELE,EcM,AM,15,10_5 BELE_15,Center,22.2
10,5,BELE,EcM,AM,16,10_5 BELE_16,Edge,28.5
10,5,BELE,EcM,AM,17,10_5 BELE_17,Edge,29.4
10,5,BELE,EcM,AM,18,10_5 BELE_18,Edge,21
10,5,BELE,EcM,AM,19,10_5 BELE_19,Center,19.9
10,5,BELE,EcM,AM,20,10_5 BELE_20,Center,25.9
10,5,CACO,EcM,AM,1,10_5 CACO_1,Edge,25.3
10,5,CACO,EcM,AM,2,10_5 CACO_2,Center,35.6
10,5,CACO,EcM,AM,3,10_5 CACO_3,Center,24.2
10,5,CACO,EcM,AM,5,10_5 CACO_5,Edge,34.1
10,5,CACO,EcM,AM,6,10_5 CACO_6,Edge,36.9
10,5,CACO,EcM,AM,7,10_5 CACO_7,Center,31.7
10,5,CACO,EcM,AM,8,10_5 CACO_8,Edge,21
10,5,CACO,EcM,AM,9,10_5 CACO_9,Center,32.8
10,5,CACO,EcM,AM,10,10_5 CACO_10,Edge,32.4
10,5,CACO,EcM,AM,11,10_5 CACO_11,Edge,32.4
10,5,CACO,EcM,AM,12,10_5 CACO_12,Edge,23.2
10,5,CACO,EcM,AM,16,10_5 CACO_16,Center,30
10,5,CACO,EcM,AM,18,10_5 CACO_18,Edge,26.8
10,5,CACO,EcM,AM,19,10_5 CACO_19,Edge,39.5
10,5,QURU,EcM,AM,1,10_5 QURU_1,Edge,35
10,5,QURU,EcM,AM,2,10_5 QURU_2,Edge,49.2
10,5,QURU,EcM,AM,3,10_5 QURU_3,Edge,31.1
10,5,QURU,EcM,AM,4,10_5 QURU_4,Center,24.9
10,5,QURU,EcM,AM,6,10_5 QURU_6,Center,27
10,5,QURU,EcM,AM,7,10_5 QURU_7,Edge,27.2
10,5,QURU,EcM,AM,9,10_5 QURU_9,Center,35.1
10,5,QURU,EcM,AM,10,10_5 QURU_10,Center,29.7
10,5,QURU,EcM,AM,11,10_5 QURU_11,Center,28
10,5,QURU,EcM,AM,12,10_5 QURU_12,Center,33.8
10,5,QURU,EcM,AM,13,10_5 QURU_13,Center,34.8
10,5,QURU,EcM,AM,14,10_5 QURU_14,Center,24.8
10,5,QURU,EcM,AM,15,10_5 QURU_15,Edge,30.2
10,5,QURU,EcM,AM,17,10_5 QURU_17,Edge,27.5
10,5,QURU,EcM,AM,18,10_5 QURU_18,Edge,25.6
10,5,QURU,EcM,AM,19,10_5 QURU_19,Center,25.3
10,5,TIAM,EcM,AM,3,10_5 TIAM_3,Center,24.2
10,5,TIAM,EcM,AM,4,10_5 TIAM_4,Edge,18.4
10,5,TIAM,EcM,AM,5,10_5 TIAM_5,Edge,35.9
10,5,TIAM,EcM,AM,7,10_5 TIAM_7,Edge,40
10,5,TIAM,EcM,AM,8,10_5 TIAM_8,Edge,32.3
10,5,TIAM,EcM,AM,9,10_5 TIAM_9,Edge,34.3
10,5,TIAM,EcM,AM,10,10_5 TIAM_10,Edge,31.1
10,5,TIAM,EcM,AM,11,10_5 TIAM_11,Edge,23.2
10,5,TIAM,EcM,AM,12,10_5 TIAM_12,Edge,31.6
10,5,TIAM,EcM,AM,14,10_5 TIAM_14,Center,18.5
10,5,TIAM,EcM,AM,15,10_5 TIAM_15,Center,30.7
10,5,TIAM,EcM,AM,16,10_5 TIAM_16,Center,28.3
10,5,TIAM,EcM,AM,17,10_5 TIAM_17,Edge,23.5
10,5,TIAM,EcM,AM,18,10_5 TIAM_18,Center,28.3
10,5,TIAM,EcM,AM,20,10_5 TIAM_20,Edge,21.8
8,1,ACRU,AM,AM,1,8_1 ACRU_1,Edge,26.6
8,1,ACRU,AM,AM,2,8_1 ACRU_2,Edge,12.5
8,1,ACRU,AM,AM,3,8_1 ACRU_3,Edge,18.7
8,1,ACRU,AM,AM,4,8_1 ACRU_4,Edge,18.5
8,1,ACRU,AM,AM,5,8_1 ACRU_5,Center,11.5
8,1,ACRU,AM,AM,6,8_1 ACRU_6,Center,23.5
8,1,ACRU,AM,AM,7,8_1 ACRU_7,Center,12.9
8,1,ACRU,AM,AM,8,8_1 ACRU_8,Center,23.9
8,1,ACRU,AM,AM,9,8_1 ACRU_9,Center,18
8,1,ACRU,AM,AM,10,8_1 ACRU_10,Center,20
8,1,ACRU,AM,AM,11,8_1 ACRU_11,Center,10.3
8,1,ACRU,AM,AM,15,8_1 ACRU_15,Edge,13.9
8,1,ACRU,AM,AM,18,8_1 ACRU_18,Edge,19.9
8,1,ACRU,AM,AM,19,8_1 ACRU_19,Edge,26
8,1,ACRU,AM,AM,20,8_1 ACRU_20,Edge,19.2
8,1,ACSA,AM,AM,1,8_1 ACSA_1,Center,16.7
8,1,ACSA,AM,AM,2,8_1 ACSA_2,Center,31.5
8,1,ACSA,AM,AM,3,8_1 ACSA_3,Center,14.1
8,1,ACSA,AM,AM,4,8_1 ACSA_4,Center,10.9
8,1,ACSA,AM,AM,5,8_1 ACSA_5,Edge,19.1
8,1,ACSA,AM,AM,6,8_1 ACSA_6,Edge,20.5
8,1,ACSA,AM,AM,7,8_1 ACSA_7,Center,15.3
8,1,ACSA,AM,AM,8,8_1 ACSA_8,Edge,12.11
8,1,ACSA,AM,AM,9,8_1 ACSA_9,Edge,12.6
8,1,ACSA,AM,AM,10,8_1 ACSA_10,Center,14.8
8,1,ACSA,AM,AM,12,8_1 ACSA_12,Edge,23.2
8,1,ACSA,AM,AM,13,8_1 ACSA_13,Edge,17
8,1,ACSA,AM,AM,14,8_1 ACSA_14,Edge,23.2
8,1,ACSA,AM,AM,15,8_1 ACSA_15,Edge,20.5
8,1,ACSA,AM,AM,16,8_1 ACSA_16,Edge,23.8
8,1,ACSA,AM,AM,18,8_1 ACSA_18,Edge,23.11
8,1,ACSA,AM,AM,19,8_1 ACSA_19,Center,14
8,1,ACSA,AM,AM,20,8_1 ACSA_20,Center,17.9
8,1,NYSY,AM,AM,1,8_1 NYSY_1,Edge,27.5
8,1,NYSY,AM,AM,2,8_1 NYSY_2,Edge,23.2
8,1,NYSY,AM,AM,3,8_1 NYSY_3,Center,10
8,1,NYSY,AM,AM,6,8_1 NYSY_6,Edge,31.5
8,1,NYSY,AM,AM,7,8_1 NYSY_7,Edge,11.3
8,1,NYSY,AM,AM,9,8_1 NYSY_9,Center,15.8
8,1,NYSY,AM,AM,10,8_1 NYSY_10,Center,14
8,1,NYSY,AM,AM,11,8_1 NYSY_11,Center,22.2
8,1,NYSY,AM,AM,12,8_1 NYSY_12,Center,20.9
8,1,NYSY,AM,AM,15,8_1 NYSY_15,Edge,19.3
8,1,NYSY,AM,AM,16,8_1 NYSY_16,Edge,29.8
8,1,NYSY,AM,AM,17,8_1 NYSY_17,Edge,12.1
8,1,NYSY,AM,AM,18,8_1 NYSY_18,Edge,20.2
8,1,NYSY,AM,AM,20,8_1 NYSY_20,Edge,23.6
8,1,PRSE,AM,AM,1,8_1 PRSE_1,Center,13.3
8,1,PRSE,AM,AM,2,8_1 PRSE_2,Edge,27.9
8,1,PRSE,AM,AM,3,8_1 PRSE_3,Edge,30.6
8,1,PRSE,AM,AM,4,8_1 PRSE_4,Center,21.6
8,1,PRSE,AM,AM,5,8_1 PRSE_5,Edge,25.3
8,1,PRSE,AM,AM,6,8_1 PRSE_6,Center,11.5
8,1,PRSE,AM,AM,7,8_1 PRSE_7,Edge,11.7
8,1,PRSE,AM,AM,8,8_1 PRSE_8,Edge,20.5
8,1,PRSE,AM,AM,9,8_1 PRSE_9,Center,21.7
8,1,PRSE,AM,AM,11,8_1 PRSE_11,Edge,19.1
8,1,PRSE,AM,AM,12,8_1 PRSE_12,Edge,14.8
8,1,PRSE,AM,AM,13,8_1 PRSE_13,Edge,17.4
8,1,PRSE,AM,AM,15,8_1 PRSE_15,Center,13.6
8,1,PRSE,AM,AM,16,8_1 PRSE_16,Edge,20.2
8,1,PRSE,AM,AM,17,8_1 PRSE_17,Edge,18.7
8,1,PRSE,AM,AM,19,8_1 PRSE_19,Edge,32.2
8,1,PRSE,AM,AM,20,8_1 PRSE_20,Edge,25
8,1,BELE,EcM,AM,1,8_1 BELE_1,Edge,25.6
8,1,BELE,EcM,AM,2,8_1 BELE_2,Center,25
8,1,BELE,EcM,AM,4,8_1 BELE_4,Center,30.4
8,1,BELE,EcM,AM,5,8_1 BELE_5,Center,22.4
8,1,BELE,EcM,AM,6,8_1 BELE_6,Center,25
8,1,BELE,EcM,AM,7,8_1 BELE_7,Center,25.8
8,1,BELE,EcM,AM,8,8_1 BELE_8,Edge,25.2
8,1,BELE,EcM,AM,9,8_1 BELE_9,Edge,27.5
8,1,BELE,EcM,AM,10,8_1 BELE_10,Edge,27.5
8,1,BELE,EcM,AM,11,8_1 BELE_11,Center,31.6
8,1,BELE,EcM,AM,13,8_1 BELE_13,Edge,23.3
8,1,BELE,EcM,AM,14,8_1 BELE_14,Edge,25.3
8,1,BELE,EcM,AM,15,8_1 BELE_15,Center,21.1
8,1,BELE,EcM,AM,16,8_1 BELE_16,Center,21.3
8,1,BELE,EcM,AM,18,8_1 BELE_18,Edge,27
8,1,BELE,EcM,AM,20,8_1 BELE_20,Center,25.4
8,1,CACO,EcM,AM,1,8_1 CACO_1,Center,26.8
8,1,CACO,EcM,AM,3,8_1 CACO_3,Edge,24.5
8,1,CACO,EcM,AM,4,8_1 CACO_4,Edge,18.6
8,1,CACO,EcM,AM,5,8_1 CACO_5,Center,27.6
8,1,CACO,EcM,AM,6,8_1 CACO_6,Edge,27.1
8,1,CACO,EcM,AM,7,8_1 CACO_7,Center,27.2
8,1,CACO,EcM,AM,8,8_1 CACO_8,Center,25.4
8,1,CACO,EcM,AM,9,8_1 CACO_9,Edge,26.1
8,1,CACO,EcM,AM,12,8_1 CACO_12,Center,23.7
8,1,CACO,EcM,AM,13,8_1 CACO_13,Center,23.1
8,1,CACO,EcM,AM,14,8_1 CACO_14,Edge,35.3
8,1,CACO,EcM,AM,15,8_1 CACO_15,Edge,24.6
8,1,CACO,EcM,AM,16,8_1 CACO_16,Center,13.8
8,1,CACO,EcM,AM,17,8_1 CACO_17,Edge,24.4
8,1,CACO,EcM,AM,19,8_1 CACO_19,Edge,21.6
8,1,CACO,EcM,AM,20,8_1 CACO_20,Edge,22.5
8,1,QURU,EcM,AM,1,8_1 QURU_1,Center,22.8
8,1,QURU,EcM,AM,2,8_1 QURU_2,Edge,31.4
8,1,QURU,EcM,AM,3,8_1 QURU_3,Edge,19.1
8,1,QURU,EcM,AM,4,8_1 QURU_4,Edge,20.9
8,1,QURU,EcM,AM,5,8_1 QURU_5,Center,29.7
8,1,QURU,EcM,AM,6,8_1 QURU_6,Center,23.6
8,1,QURU,EcM,AM,8,8_1 QURU_8,Edge,24
8,1,QURU,EcM,AM,9,8_1 QURU_9,Center,25.2
8,1,QURU,EcM,AM,10,8_1 QURU_10,Center,29.2
8,1,QURU,EcM,AM,12,8_1 QURU_12,Edge,19.1
8,1,QURU,EcM,AM,13,8_1 QURU_13,Center,25.5
8,1,QURU,EcM,AM,14,8_1 QURU_14,Center,19.5
8,1,QURU,EcM,AM,15,8_1 QURU_15,Edge,24.3
8,1,QURU,EcM,AM,16,8_1 QURU_16,Edge,21.9
8,1,QURU,EcM,AM,19,8_1 QURU_19,Edge,18.7
8,1,QURU,EcM,AM,20,8_1 QURU_20,Edge,27.1
8,1,TIAM,EcM,AM,2,8_1 TIAM_2,Edge,26.3
8,1,TIAM,EcM,AM,3,8_1 TIAM_3,Edge,22.1
8,1,TIAM,EcM,AM,4,8_1 TIAM_4,Center,22.3
8,1,TIAM,EcM,AM,5,8_1 TIAM_5,Edge,29.5
8,1,TIAM,EcM,AM,6,8_1 TIAM_6,Edge,31.6
8,1,TIAM,EcM,AM,8,8_1 TIAM_8,Edge,24.9
8,1,TIAM,EcM,AM,10,8_1 TIAM_10,Center,24.8
8,1,TIAM,EcM,AM,12,8_1 TIAM_12,Center,24.7
8,1,TIAM,EcM,AM,14,8_1 TIAM_14,Center,22.8
8,1,TIAM,EcM,AM,15,8_1 TIAM_15,Edge,29.1
8,1,TIAM,EcM,AM,16,8_1 TIAM_16,Edge,19
8,1,TIAM,EcM,AM,17,8_1 TIAM_17,Center,27.8
8,1,TIAM,EcM,AM,18,8_1 TIAM_18,Edge,28.9
8,1,TIAM,EcM,AM,20,8_1 TIAM_20,Edge,9.8
3,5,ACRU,AM,AM,1,3_5 ACRU_1,Edge,25.8
3,5,ACRU,AM,AM,3,3_5 ACRU_3,Center,26.8
3,5,ACRU,AM,AM,4,3_5 ACRU_4,Edge,28.6
3,5,ACRU,AM,AM,5,3_5 ACRU_5,Edge,24
3,5,ACRU,AM,AM,6,3_5 ACRU_6,Edge,22.6
3,5,ACRU,AM,AM,7,3_5 ACRU_7,Edge,19
3,5,ACRU,AM,AM,8,3_5 ACRU_8,Center,28
3,5,ACRU,AM,AM,9,3_5 ACRU_9,Center,25
3,5,ACRU,AM,AM,10,3_5 ACRU_10,Center,19.9
3,5,ACRU,AM,AM,11,3_5 ACRU_11,Center,26.3
3,5,ACRU,AM,AM,12,3_5 ACRU_12,Center,30.7
3,5,ACRU,AM,AM,13,3_5 ACRU_13,Edge,29.3
3,5,ACRU,AM,AM,14,3_5 ACRU_14,Edge,29.5
3,5,ACRU,AM,AM,15,3_5 ACRU_15,Center,21.2
3,5,ACRU,AM,AM,16,3_5 ACRU_16,Center,24.7
3,5,ACRU,AM,AM,17,3_5 ACRU_17,Edge,29.8
3,5,ACRU,AM,AM,18,3_5 ACRU_18,Edge,28.6
3,5,ACRU,AM,AM,20,3_5 ACRU_20,Edge,21.4
3,5,ACSA,AM,AM,3,3_5 ACSA_3,Center,28.8
3,5,ACSA,AM,AM,4,3_5 ACSA_4,Center,17.8
3,5,ACSA,AM,AM,6,3_5 ACSA_6,Edge,16.8
3,5,ACSA,AM,AM,8,3_5 ACSA_8,Center,27.5
3,5,ACSA,AM,AM,9,3_5 ACSA_9,Edge,29.7
3,5,ACSA,AM,AM,10,3_5 ACSA_10,Edge,24.5
3,5,ACSA,AM,AM,11,3_5 ACSA_11,Edge,25.1
3,5,ACSA,AM,AM,12,3_5 ACSA_12,Edge,14.9
3,5,ACSA,AM,AM,13,3_5 ACSA_13,Center,11.3
3,5,ACSA,AM,AM,14,3_5 ACSA_14,Edge,22.3
3,5,ACSA,AM,AM,15,3_5 ACSA_15,Center,28.7
3,5,ACSA,AM,AM,16,3_5 ACSA_16,Edge,16.7
3,5,ACSA,AM,AM,17,3_5 ACSA_17,Edge,24.4
3,5,ACSA,AM,AM,19,3_5 ACSA_19,Edge,24.6
3,5,ACSA,AM,AM,20,3_5 ACSA_20,Edge,24.1
3,5,NYSY,AM,AM,2,3_5 NYSY_2,Edge,14.2
3,5,NYSY,AM,AM,4,3_5 NYSY_4,Edge,14.4
3,5,NYSY,AM,AM,5,3_5 NYSY_5,Edge,20.9
3,5,NYSY,AM,AM,6,3_5 NYSY_6,Edge,22.8
3,5,NYSY,AM,AM,9,3_5 NYSY_9,Edge,8.1
3,5,NYSY,AM,AM,11,3_5 NYSY_11,Edge,16
3,5,NYSY,AM,AM,12,3_5 NYSY_12,Edge,19.2
3,5,NYSY,AM,AM,13,3_5 NYSY_13,Edge,16.7
3,5,NYSY,AM,AM,15,3_5 NYSY_15,Center,20
3,5,NYSY,AM,AM,16,3_5 NYSY_16,Center,17.3
3,5,NYSY,AM,AM,17,3_5 NYSY_17,Center,26.8
3,5,NYSY,AM,AM,18,3_5 NYSY_18,Edge,24.4
3,5,NYSY,AM,AM,19,3_5 NYSY_19,Edge,17.1
3,5,NYSY,AM,AM,20,3_5 NYSY_20,Center,39.6
3,5,PRSE,AM,AM,2,3_5 PRSE_2,Edge,19.1
3,5,PRSE,AM,AM,3,3_5 PRSE_3,Edge,17.5
3,5,PRSE,AM,AM,4,3_5 PRSE_4,Edge,26.6
3,5,PRSE,AM,AM,5,3_5 PRSE_5,Center,24.8
3,5,PRSE,AM,AM,6,3_5 PRSE_6,Edge,16.7
3,5,PRSE,AM,AM,7,3_5 PRSE_7,Center,18.7
3,5,PRSE,AM,AM,8,3_5 PRSE_8,Edge,25.7
3,5,PRSE,AM,AM,9,3_5 PRSE_9,Edge,25.1
3,5,PRSE,AM,AM,10,3_5 PRSE_10,Edge,31.2
3,5,PRSE,AM,AM,11,3_5 PRSE_11,Center,24.5
3,5,PRSE,AM,AM,12,3_5 PRSE_12,Edge,33.2
3,5,PRSE,AM,AM,14,3_5 PRSE_14,Edge,17.2
3,5,PRSE,AM,AM,15,3_5 PRSE_15,Edge,29.3
3,5,PRSE,AM,AM,16,3_5 PRSE_16,Edge,8.9
3,5,PRSE,AM,AM,17,3_5 PRSE_17,Center,15.5
3,5,PRSE,AM,AM,18,3_5 PRSE_18,Center,20
3,5,PRSE,AM,AM,20,3_5 PRSE_20,Center,25.3
3,5,BELE,EcM,AM,3,3_5 BELE_3,Center,38.5
3,5,BELE,EcM,AM,7,3_5 BELE_7,Center,19.3
3,5,BELE,EcM,AM,8,3_5 BELE_8,Edge,31.6
3,5,BELE,EcM,AM,9,3_5 BELE_9,Center,28.1
3,5,BELE,EcM,AM,10,3_5 BELE_10,Center,20
3,5,BELE,EcM,AM,12,3_5 BELE_12,Center,25.5
3,5,BELE,EcM,AM,13,3_5 BELE_13,Center,20.7
3,5,BELE,EcM,AM,14,3_5 BELE_14,Edge,21.3
3,5,BELE,EcM,AM,15,3_5 BELE_15,Edge,18.8
3,5,BELE,EcM,AM,16,3_5 BELE_16,Edge,28.8
3,5,BELE,EcM,AM,18,3_5 BELE_18,Edge,14
3,5,BELE,EcM,AM,20,3_5 BELE_20,Center,29.5
3,5,CACO,EcM,AM,1,3_5 CACO_1,Edge,28.3
3,5,CACO,EcM,AM,2,3_5 CACO_2,Edge,20
3,5,CACO,EcM,AM,4,3_5 CACO_4,Center,19.4
3,5,CACO,EcM,AM,5,3_5 CACO_5,Edge,27.1
3,5,CACO,EcM,AM,8,3_5 CACO_8,Center,18.8
3,5,CACO,EcM,AM,9,3_5 CACO_9,Edge,28.4
3,5,CACO,EcM,AM,10,3_5 CACO_10,Edge,18.6
3,5,CACO,EcM,AM,11,3_5 CACO_11,Center,23.9
3,5,CACO,EcM,AM,12,3_5 CACO_12,Edge,27.4
